id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,duplicate_id
B120677A,1977-12-06T17:05:16,-68.11,-31.43,19.0,5.9,mw,181.0,37.0,82.0,11.0,54.0,96.0,80.0,306.0,5.0,187.0,8.0,97.0,6.121e+17,2.788e+17,-8.909000000000001e+17,5.540000000000001e+16,2.254e+17,-1.3700000000000002e+17,gcmt,10_gcmt
B120777A,1977-12-07T00:32:36,-67.39,-28.57,124.0,5.5,mwc,148.0,42.0,-82.0,318.0,48.0,-97.0,3.0,53.0,5.0,322.0,84.0,171.0,,,,,,,us,290_us
688770,1977-12-07T00:32:38,-67.391,-28.724,140.0,5.46,mw,148.0,42.0,-82.0,318.0,48.0,-97.0,44.87483001610005,52.34315972973707,32.4734463734378,283.0236533697507,27.54906560379849,173.63394418912037,-1.84,0.64,1.2,0.24,-0.05,-1.02,gem,290_gem
B120777A,1977-12-07T00:32:41,-67.32,-28.58,143.9,5.4,mw,148.0,42.0,-82.0,318.0,48.0,-97.0,3.0,53.0,5.0,322.0,84.0,171.0,-1.84e+17,6.38e+16,1.201e+17,2.37e+16,-5400000000000000.0,-1.0169999999999998e+17,gcmt,290_gcmt
688937,1977-12-10T07:11:53,-67.786,-31.251,10.0,5.46,mw,199.0,29.0,117.0,348.0,65.0,76.0,39.28333639089884,231.96957453165305,19.63467027639812,338.9375009253859,44.2094048856439,89.24471282431693,1.13,0.78,-1.9,-0.2,1.14,-0.01,gem,229_gem
B121077B,1977-12-10T07:11:56,-67.64,-31.19,39.0,5.5,mwc,199.0,29.0,117.0,348.0,65.0,76.0,67.0,232.0,13.0,355.0,18.0,89.0,,,,,,,us,229_us
B010278A,1978-01-02T08:27:40,-71.1,-38.14,126.0,5.5,mwc,93.0,53.0,-9.0,189.0,83.0,-142.0,20.0,315.0,52.0,198.0,31.0,58.0,,,,,,,us,11_us
687168,1978-01-02T08:27:42,-71.106,-38.141,131.1,5.46,mw,93.0,53.0,-9.0,189.0,83.0,-142.0,28.62834789913933,315.1107038793362,52.92770706911868,178.85093600555433,21.45876655418173,57.50078233943361,-0.18,0.47,-0.28,-0.2,1.21,1.45,gem,11_gem
B010278A,1978-01-02T08:27:43,-71.61,-37.96,144.0,5.5,mw,93.0,53.0,-9.0,189.0,83.0,-142.0,20.0,315.0,52.0,198.0,31.0,58.0,-1.84e+16,4.66e+16,-2.82e+16,-1.97e+16,1.21e+17,1.454e+17,gcmt,11_gcmt
B011778A,1978-01-17T11:33:14,-67.87,-31.29,24.0,6.0,mwc,142.0,66.0,12.0,47.0,79.0,156.0,25.0,2.0,64.0,203.0,8.0,96.0,,,,,,,us,12_us
687916,1978-01-17T11:33:15,-68.126,-31.329,19.5,5.96,mw,47.0,79.0,156.0,142.0,66.0,12.0,9.212729298752723,182.30032961712783,65.1423864050912,71.80738002861688,22.87256253731264,276.22364957893694,0.97,8.94,-9.91,4.83,1.09,-1.4,gem,12_gem
B011778A,1978-01-17T11:33:21,-68.08,-31.53,23.0,5.7,mw,142.0,66.0,12.0,47.0,79.0,156.0,25.0,2.0,64.0,203.0,8.0,96.0,9.75e+16,8.938e+17,-9.913e+17,4.83e+17,1.0940000000000002e+17,-1.401e+17,gcmt,12_gcmt
