#,year,month,day,hour,minute,seconds,longitude,latitude,depth,rms,magnitude,magnitude_type
276,1982,10,19,6,0,18.66,-70.644746,-34.200826,98.6432,0.22,,xx
277,1982,10,19,7,30,11.53,-67.517578,-28.209153,130.2334,1.15,,xx
278,1982,10,19,9,23,47.44,-70.069455,-32.506966,102.3776,0.62,,xx
279,1982,10,20,0,5,26.39,-71.779965,-35.693879,31.332,0.65,,xx
280,1982,10,20,0,16,3.26,-70.744248,-32.782316,62.3702,0.49,,xx
281,1982,10,20,12,24,53.49,-70.497262,-34.943331,-1.9998,0.48,,xx
282,1982,10,22,1,55,22.83,-71.083882,-34.630265,66.631,0.83,,xx
283,1982,10,22,19,18,53.96,-69.111919,-32.11059,10.5304,1.42,,xx
284,1982,10,23,0,55,50.43,-69.507666,-31.490868,102.6087,0.88,,xx
285,1982,10,23,10,16,30.48,-69.243298,-31.421699,179.2801,0.96,,xx
286,1982,10,23,16,10,29.48,-71.67608,-31.996575,24.5354,1.47,,xx
287,1982,10,23,16,51,34.32,-68.421614,-31.157711,104.9022,1.13,,xx
288,1982,10,24,13,5,51.34,-70.821133,-33.505985,75.6207,0.73,,xx
289,1982,10,24,15,56,40.97,-71.198025,-31.940893,77.569,0.59,,xx
290,1982,10,24,19,13,48.46,-69.885726,-32.037222,135.2613,0.76,,xx
291,1982,10,26,5,38,33.49,-71.932865,-32.101079,35.8434,0.85,,xx
292,1982,10,26,8,39,53.71,-71.875809,-32.076172,11.1906,1.07,,xx
293,1982,10,26,18,17,42.87,-70.608351,-33.787436,89.5911,0.51,,xx
294,1982,10,27,23,27,36.67,-71.772307,-32.958819,51.5754,1.34,,xx
295,1982,10,28,9,7,57.11,-71.835094,-32.155262,22.5555,0.7,,xx
296,1982,10,28,9,25,49.59,-71.669466,-31.408722,17.28,0.82,,xx
297,1982,10,28,10,7,59.85,-71.817595,-32.149705,17.7567,1.12,,xx
298,1982,10,28,19,46,49.0,-69.250915,-31.946427,130.566,1.0,,xx
299,1982,10,29,11,21,4.55,-69.874069,-30.485297,136.1705,1.15,,xx
300,1982,10,29,20,10,53.25,-72.024046,-32.119436,3.8918,1.49,,xx
301,1982,10,30,11,41,52.23,-72.247035,-31.877538,39.7562,0.93,,xx
302,1982,10,31,1,34,43.2,-72.001917,-30.618129,35.8382,0.98,,xx
303,1982,10,31,2,13,46.67,-70.395475,-32.767767,80.9287,0.28,,xx
304,1982,10,31,4,7,37.26,-70.293591,-33.093398,99.8089,0.39,,xx
305,1982,10,31,9,29,2.11,-70.631172,-33.620133,22.2775,0.39,,xx
306,1982,10,31,10,14,28.09,-72.199728,-31.846825,56.7035,0.46,,xx
307,1982,10,31,22,34,23.41,-71.252425,-31.775188,47.9733,0.92,,xx
308,1982,11,1,0,39,46.65,-68.62734,-31.356673,101.3852,0.91,,xx
309,1982,11,1,13,55,6.13,-68.515614,-31.268951,108.704,1.22,,xx
310,1982,11,1,18,36,20.8,-72.206446,-31.867688,9.7594,1.06,,xx
311,1982,11,2,2,20,11.84,-71.987323,-32.582928,40.0463,0.59,,xx
312,1982,11,2,3,44,1.23,-72.120582,-31.81287,3.2799,0.99,,xx
313,1982,11,2,13,49,8.6,-70.230863,-32.029714,119.5197,0.35,,xx
314,1982,11,3,4,8,49.49,-67.487244,-31.391798,-0.7105,0.83,,xx
315,1982,11,3,5,24,14.32,-70.169967,-33.444087,106.5704,0.26,,xx
316,1982,11,3,14,20,5.27,-69.65559,-31.695107,132.4217,0.89,,xx
317,1982,11,4,17,58,41.55,-70.682283,-35.311366,-1.4819,0.63,,xx
318,1982,11,4,21,26,50.71,-73.259145,-31.894718,3.8435,0.99,,xx
319,1982,11,5,3,2,48.07,-71.444013,-31.897568,7.2698,1.06,,xx
320,1982,11,5,11,38,24.07,-69.948026,-30.87998,112.1111,0.36,,xx
321,1982,11,5,18,26,1.54,-72.593799,-31.584867,14.769,1.41,,xx
322,1982,11,6,1,35,49.22,-70.274689,-31.992705,106.6236,1.04,,xx
323,1982,11,6,6,24,44.4,-71.979234,-31.704945,2.7066,1.51,,xx
324,1982,11,6,10,8,2.66,-71.308154,-33.405596,38.0881,1.07,,xx
325,1982,11,6,20,51,0.56,-72.126946,-32.409475,2.5669,0.69,,xx
326,1982,11,7,2,30,44.95,-70.058069,-31.754635,135.1215,0.47,,xx
327,1982,11,7,11,55,45.68,-70.298149,-31.654194,119.7324,0.41,,xx
