id,time_iso,latitude,longitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,P_plunge,P_azimuth,N_plunge,N_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
201405270904A,2014-05-27T09:04:00,-36.02,-74.0,15,5.3,mw,19,13,98,191,77,88,58,98,32,282,,,,,,,,,gmt,subduction_interface
201407260731A,2014-07-26T07:31:00,-30.54,-72.42,15,5.0,mw,357,28,97,168,62,86,73,70,17,262,,,,,,,,,gmt,subduction_interface
201409280846A,2014-09-28T08:46:00,-35.63,-73.38,20,5.3,mw,21,19,106,185,72,85,63,86,27,278,,,,,,,,,gmt,subduction_interface
201410232338A,2014-10-23T23:38:00,-34.02,-72.39,17,5.2,mw,3,13,97,176,77,88,58,84,32,267,,,,,,,,,gmt,subduction_interface
201501180359A,2015-01-18T03:59:00,-33.13,-71.9,25,5.2,mw,18,17,128,158,77,80,57,55,31,258,,,,,,,,,gmt,subduction_interface
201503181827A,2015-03-18T18:27:00,-36.16,-73.9,12,6.1,mw,9,17,87,192,73,91,62,104,28,281,,,,,,,,,gmt,subduction_interface
201503181907A,2015-03-18T19:07:00,-36.09,-74.06,15,5.4,mw,2,22,82,190,68,93,67,106,23,278,,,,,,,,,gmt,subduction_interface
201503190834A,2015-03-19T08:34:00,-36.17,-74.01,14,5.0,mw,359,25,83,187,65,93,70,103,20,274,,,,,,,,,gmt,subduction_interface
201506200210A,2015-06-20T02:10:00,-36.35,-74.1,12,6.4,mw,9,18,84,196,72,92,63,108,27,284,,,,,,,,,gmt,subduction_interface
201506200522A,2015-06-20T05:22:00,-36.47,-74.1,12,5.4,mw,11,18,93,188,72,89,63,96,27,279,,,,,,,,,gmt,subduction_interface
201509162254A,2015-09-16T22:54:00,-31.13,-72.09,17,6.7,mw,7,19,109,166,72,83,62,67,27,262,,,,,,,,,gmt,subduction_interface
201509171332A,2015-09-17T13:32:00,-32.23,-72.28,17,5.9,mw,357,22,87,181,68,91,67,92,23,269,,,,,,,,,gmt,subduction_interface
201509180910A,2015-09-18T09:10:00,-32.31,-72.3,13,6.1,mw,347,24,81,177,67,94,68,95,21,264,,,,,,,,,gmt,subduction_interface
201509190831A,2015-09-19T08:31:00,-30.26,-72.3,14,5.4,mw,0,24,91,180,66,90,69,88,21,269,,,,,,,,,gmt,subduction_interface
201509191252A,2015-09-19T12:52:00,-32.34,-72.05,20,6.2,mw,6,23,98,178,67,87,68,81,22,270,,,,,,,,,gmt,subduction_interface
201510030603A,2015-10-03T06:03:00,-37.57,-73.71,22,5.7,mw,4,19,93,181,72,89,64,89,26,272,,,,,,,,,gmt,subduction_interface
201510040349A,2015-10-04T03:49:00,-30.41,-72.26,12,5.4,mw,358,26,94,173,64,88,71,79,19,265,,,,,,,,,gmt,subduction_interface
201511060844A,2015-11-06T08:44:00,-30.26,-72.28,12,5.3,mw,6,25,97,178,65,87,70,82,20,271,,,,,,,,,gmt,subduction_interface
201511280544A,2015-11-28T05:44:00,-30.39,-72.26,12,5.6,mw,0,22,95,175,68,88,67,81,23,266,,,,,,,,,gmt,subduction_interface
201512100009A,2015-12-10T00:09:00,-35.97,-73.45,19,5.5,mw,23,13,103,190,77,87,58,96,32,282,,,,,,,,,gmt,subduction_interface
201602220637A,2016-02-22T06:37:00,-30.56,-72.26,12,6.0,mw,359,23,90,179,67,90,68,89,22,269,,,,,,,,,gmt,subduction_interface
201607190518A,2016-07-19T05:18:00,-30.27,-72.29,14,5.7,mw,359,25,91,178,65,89,70,87,20,268,,,,,,,,,gmt,subduction_interface
201610272032A,2016-10-27T20:32:00,-33.83,-72.75,12,6.0,mw,11,17,90,190,73,90,62,101,28,281,,,,,,,,,gmt,subduction_interface
201610292201A,2016-10-29T22:01:00,-33.96,-72.71,14,5.1,mw,14,19,100,183,71,86,64,88,26,276,,,,,,,,,gmt,subduction_interface
201611080455A,2016-11-08T04:55:00,-36.66,-73.71,20,6.0,mw,8,17,95,182,73,88,62,90,28,274,,,,,,,,,gmt,subduction_interface
201612191536A,2016-12-19T15:36:00,-30.8,-71.27,44,5.0,mw,354,38,94,169,52,87,83,62,7,261,,,,,,,,,gmt,subduction_interface
201701041324A,2017-01-04T13:24:00,-30.51,-71.64,32,5.0,mw,175,38,119,320,58,69,70,184,10,65,,,,,,,,,gmt,subduction_interface
201702160702A,2017-02-16T07:02:00,-30.26,-72.35,14,5.3,mw,359,27,91,178,63,90,72,87,18,268,,,,,,,,,gmt,subduction_interface
201704230236A,2017-04-23T02:36:00,-33.06,-72.04,23,6.0,mw,1,22,88,184,68,91,67,95,23,273,,,,,,,,,gmt,subduction_interface
201704231940A,2017-04-23T19:40:00,-33.16,-72.17,22,5.6,mw,355,24,87,178,66,91,69,91,21,267,,,,,,,,,gmt,subduction_interface
201704270509A,2017-04-27T05:09:00,-33.32,-71.89,25,5.2,mw,350,16,79,181,74,93,61,96,29,269,,,,,,,,,gmt,subduction_interface
201704281530A,2017-04-28T15:30:00,-33.3,-72.03,23,5.9,mw,0,20,99,171,70,87,65,75,25,263,,,,,,,,,gmt,subduction_interface
201704281558A,2017-04-28T15:58:00,-33.35,-72.06,24,5.5,mw,349,18,97,162,72,88,63,68,27,253,,,,,,,,,gmt,subduction_interface
201704281605A,2017-04-28T16:05:00,-33.3,-71.83,31,5.9,mw,334,20,73,172,71,96,64,92,26,257,,,,,,,,,gmt,subduction_interface
201704281741A,2017-04-28T17:41:00,-33.27,-72.0,24,5.5,mw,5,18,90,185,72,90,63,95,27,275,,,,,,,,,gmt,subduction_interface
201707041605A,2017-07-04T16:05:00,-35.59,-73.56,12,5.9,mw,25,19,104,190,71,85,63,93,26,284,,,,,,,,,gmt,subduction_interface
201707120908A,2017-07-12T09:08:00,-35.5,-73.34,12,5.5,mw,28,16,112,185,75,84,59,87,30,280,,,,,,,,,gmt,subduction_interface
201707141200A,2017-07-14T12:00:00,-33.8,-72.7,14,5.4,mw,16,19,97,189,71,88,64,95,26,280,,,,,,,,,gmt,subduction_interface
201708121254A,2017-08-12T12:54:00,-30.39,-72.26,13,5.7,mw,5,24,84,191,66,93,69,107,21,280,,,,,,,,,gmt,subduction_interface
201802082119A,2018-02-08T21:19:00,-37.58,-74.19,12,5.5,mw,27,17,111,185,74,84,60,86,29,280,,,,,,,,,gmt,subduction_interface
201807161029A,2018-07-16T10:29:00,-35.65,-73.6,16,5.1,mw,31,17,113,187,74,83,60,87,29,283,,,,,,,,,gmt,subduction_interface
201812051712A,2018-12-05T17:12:00,-33.66,-71.57,35,5.2,mw,333,48,120,112,50,61,68,315,1,222,,,,,,,,,gmt,subduction_interface
201901280900A,2019-01-28T09:00:00,-35.61,-73.0,28,5.2,mw,15,17,101,184,73,87,62,89,28,276,,,,,,,,,gmt,subduction_interface
201904071052A,2019-04-07T10:52:00,-33.84,-72.63,12,5.7,mw,14,17,96,188,73,88,62,95,28,279,,,,,,,,,gmt,subduction_interface
201906140019A,2019-06-14T00:19:00,-30.12,-72.16,12,6.3,mw,1,21,88,183,69,91,66,94,24,273,,,,,,,,,gmt,subduction_interface
201908020055A,2019-08-02T00:55:00,-34.18,-72.3,24,5.4,mw,350,24,69,193,68,99,66,119,22,276,,,,,,,,,gmt,subduction_interface
201909050541A,2019-09-05T05:41:00,-36.18,-73.91,13,5.1,mw,3,21,78,196,70,94,65,114,24,282,,,,,,,,,gmt,subduction_interface
201909230824A,2019-09-23T08:24:00,-36.18,-73.96,13,5.3,mw,4,16,81,194,74,93,61,107,29,281,,,,,,,,,gmt,subduction_interface
201911151716A,2019-11-15T17:16:00,-34.01,-72.33,22,5.2,mw,10,23,107,171,68,83,66,69,23,267,,,,,,,,,gmt,subduction_interface
202001281816A,2020-01-28T18:16:00,-30.35,-72.26,12,5.4,mw,342,23,69,185,69,99,65,109,23,268,,,,,,,,,gmt,subduction_interface
202002180532A,2020-02-18T05:32:00,-35.63,-73.27,15,5.1,mw,13,13,99,184,78,88,58,91,32,275,,,,,,,,,gmt,subduction_interface
202004161513A,2020-04-16T15:13:00,-38.06,-73.65,22,5.1,mw,219,46,-72,15,47,-107,0,116,77,208,,,,,,,,,gmt,subduction_interface
202009170133A,2020-09-17T01:33:00,-30.2,-71.37,40,5.0,mw,0,38,100,167,53,82,80,43,7,263,,,,,,,,,gmt,subduction_interface
202104190318A,2021-04-19T03:18:00,-34.02,-72.45,21,5.2,mw,12,20,99,182,70,87,65,87,25,275,,,,,,,,,gmt,subduction_interface
202104190411A,2021-04-19T04:11:00,-34.03,-72.44,20,5.2,mw,7,19,98,179,71,87,64,84,26,271,,,,,,,,,gmt,subduction_interface
202104191305A,2021-04-19T13:05:00,-34.05,-72.37,23,5.0,mw,340,27,74,178,64,98,70,104,19,262,,,,,,,,,gmt,subduction_interface
202104220017A,2021-04-22T00:17:00,-34.03,-72.46,21,5.5,mw,7,21,96,181,69,88,66,87,24,272,,,,,,,,,gmt,subduction_interface
202109150846A,2021-09-15T08:46:00,-32.25,-72.26,18,5.1,mw,353,17,91,172,73,90,62,81,28,262,,,,,,,,,gmt,subduction_interface
202109211314A,2021-09-21T13:14:00,-36.82,-74.28,12,6.4,mw,6,16,86,190,74,91,61,102,29,279,,,,,,,,,gmt,subduction_interface
202112010439A,2021-12-01T04:39:00,-38.02,-73.66,22,5.2,mw,152,24,-107,350,67,-83,22,75,67,274,,,,,,,,,gmt,subduction_interface
202202280115A,2022-02-28T01:15:00,-37.07,-73.99,13,5.6,mw,5,17,90,185,73,90,62,95,28,275,,,,,,,,,gmt,subduction_interface
